,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,fi,film,genres,horror,imax,listed,musical,mystery,noir,romance,sci,thriller,war,western
1,0.025209893944440818,0.06135211938711733,0.010406085261908418,0.015789882431162347,0.12003546906258346,0.05539373328183983,0.005219581245368744,0.34381221501524734,0.02949654947774686,0.026297595565111253,0.005723342163988976,0.0,0.00795085620807057,0.0,0.0,0.03760547692534457,0.023370424778055197,0.005723342163988976,0.1268836046726343,0.026297595565111253,0.02907650020747926,0.040662518290382574,0.0036932143524178447
2,0.11311037149516062,0.14738513178148216,0.026885909743349215,0.04445919472361278,0.08755275475094489,0.033577899290668185,0.0,0.15184807111280457,0.06117349956638899,0.054548488722201104,0.0,0.0,0.005592280511214082,0.01927216416972549,0.0,0.021168593099874625,0.01837051978616039,0.0,0.05935289307612414,0.054548488722201104,0.05659547136431164,0.03537625426095676,0.009182013822819192
3,0.13112087962077204,0.0838730280639712,0.02403224017168606,0.021450083263277957,0.07402297590545034,0.07447022931026138,0.00205787339901075,0.09206699050431433,0.03721739701358821,0.09667540134080241,0.0029772532277129683,0.0005776236676767361,0.01893466426071684,0.049452484414409976,0.0005776236676767361,0.0036561805960640247,0.03269932776563756,0.0029772532277129683,0.03128810159695351,0.09667540134080241,0.10233336828713703,0.01616604923852146,0.00469757011584306
4,0.1490232477132686,0.12612559054368955,0.04063409710773683,0.03266905911956544,0.09809784062609836,0.05966880774807757,0.012989180421071925,0.044566410240497,0.04407285905900418,0.09329433425206496,0.0,0.0,0.012937094741240303,0.048727443398942784,0.0,0.012827230859504057,0.027355742812714728,0.0,0.011637779409907355,0.09329433425206496,0.06509650278336955,0.013988708318209829,0.012993736592971962
5,0.05901406340019022,0.07729330565653092,0.010885486465532558,0.02806057050479049,0.18632403211253035,0.06637685910525296,0.0,0.1547160865700105,0.02796454136112704,0.04208606222560406,0.0,0.0,0.015517704092194249,0.01458856226314601,0.0,0.030488164683415725,0.03939199493904261,0.0,0.07851451216964178,0.04208606222560406,0.09377281269287888,0.011295413573948646,0.021623765958558975
6,0.07486235770042976,0.09081588135495759,0.0,0.027614390610022754,0.02520413800418098,0.12655984758121977,0.0,0.20919325675148273,0.014268005787220133,0.0573753217496945,0.015153506132853259,0.0,0.013965572222945605,0.0,0.0,0.03970645195366496,0.009968230213907126,0.015153506132853259,0.1140372923075588,0.0573753217496945,0.03469449621834717,0.07405242352896722,0.0
7,0.06803924560923522,0.07282546271713884,0.022339693904589567,0.03571929817048214,0.10190995751924489,0.09673730863810043,0.0,0.1854279978065107,0.04413442405304542,0.011556190010017005,0.0,0.0,0.016205527765442297,0.03955388080083547,0.0,0.02796162947525202,0.0,0.0,0.11400715587533661,0.011556190010017005,0.10488374878142333,0.031610858057544315,0.015531430805784827
8,0.10955033625067202,0.07240735734197151,0.015302102713493845,0.027818133515418716,0.1195745997453949,0.062163946497691594,0.0,0.12166583297628566,0.018809681119982293,0.05131749739713183,0.003212688963083279,0.0,0.024318212240809163,0.005917768055666516,0.0,0.01996158067371724,0.04969946523835785,0.003212688963083279,0.0718974983052977,0.05131749739713183,0.13480046697271422,0.026413723273917566,0.010638922358178947
9,0.08131068154311512,0.0979484193008271,0.013607628717596599,0.08443637832525003,0.10990377336941803,0.03584144688225186,0.00453066356740974,0.10234204844039944,0.041843405471749015,0.05797669642042195,0.0,0.0,0.041939647728236024,0.003086134968000089,0.0,0.04832795650615347,0.01538328353505173,0.0,0.06934477532055953,0.05797669642042195,0.08526588573694852,0.035702504869828046,0.01323197287636162
10,0.09837993269390387,0.07372409002480264,0.013741284082409124,0.013734358548909304,0.06963601567747436,0.08558688886564277,0.027308988065171413,0.1039852864162755,0.01209328118027077,0.08921432051840372,0.0,0.0,0.05339541574367429,0.010942329483720054,0.0,0.01386066697351587,0.03574111483879225,0.0,0.04710627994943528,0.08921432051840372,0.13442549596114595,0.027909930458049133,0.0
11,0.04760528534779411,0.07278933035874156,0.04209867231121235,0.0,0.17943081094197413,0.07930105177617869,0.0,0.21664646375415958,0.08476400615681777,0.0,0.0,0.0,0.07614671009057812,0.0,0.0,0.0,0.0,0.0,0.11620607101082919,0.0,0.05052104474871879,0.034490553502995756,0.0
12,0.050806658517860356,0.059982504439061196,0.01859736519926068,0.035281202212451575,0.2081909851065518,0.05810896263383895,0.012503820119851166,0.19043898216296518,0.035015546662838834,0.029696706800564576,0.002514482319922275,0.0,0.02370811223114553,0.006135989748356572,0.0,0.026491248143587803,0.02346500717294925,0.002514482319922275,0.10630339167778136,0.029696706800564576,0.058112220117850014,0.019176118836902532,0.003259506775773589
13,0.11985566919117409,0.10552159590252994,0.03151484489906089,0.029011604317428823,0.09715776309200708,0.0647740551612871,0.0060260871563785606,0.06628372954919991,0.04350098923068819,0.09334424586303715,0.002527156429921176,0.0,0.024044881910167733,0.036549728968102345,0.0,0.009741623837828027,0.02805557059687398,0.002527156429921176,0.027250549427565808,0.09334424586303715,0.07830841788959694,0.012523342048432671,0.028136742235761233
